title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
"Murder in the First, Season 2",2015,Harriet Street between Bryant and Brannan Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4022683 37.7747389),6,2024-12-18T14:30:38.000,South of Market,-122.4022683,2024-12-06T12:17:47.000,37.7747389
DEVS,2020,Alameda at San Bruno Ave,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4058947 37.7684814),6,2024-12-18T14:30:38.000,Mission,-122.4058947,2024-12-06T12:17:47.000,37.7684814
Looking,2014,24th and Church St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4274729 37.7517066),8,2024-12-18T14:30:38.000,Noe Valley,-122.4274729,2024-12-06T12:17:47.000,37.7517066
San Andreas,2015,Fort Baker,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4788979 37.8360614),,2024-12-18T14:30:38.000,,-122.4788979,2024-12-06T12:17:47.000,37.8360614
The Phone/Jexi,2019,3419 16th St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4295847 37.7643274),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4295847,2024-12-06T12:17:47.000,37.7643274
"Murder in the First, Season 1",2014,13 Lucky Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.413422 37.7522478),9,2024-12-18T14:30:38.000,Mission,-122.413422,2024-12-06T12:17:47.000,37.7522478
Ant-Man and the Wasp: Quantumania,2023,Post between Leavenworth and Montgomery,,Pym Particles Production III LLC,Walt Disney Studios Motion Pictures,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Always Be My Maybe,2019,Contemporary Jewish Museum,"When Sasha, Keanu, Jenny and Marcus go for dinner together, the restaurant (known in the film as ""maximal"") is actually San Francisco's Contemporary Jewish Museum.","Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.403672 37.7860026),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.403672,2024-12-06T12:17:47.000,37.7860026
"Looking ""Special""",2016,"Orphan Andy's, 3991 17th Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4348896 37.762326),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4348896,2024-12-06T12:17:47.000,37.762326
Looking,2014,601 Buena Vista West,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.443956 37.7669343),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.443956,2024-12-06T12:17:47.000,37.7669343
Ant-Man,2015,420 Jones St. at Ellis St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,CA,San Francisco,POINT (-122.412723 37.7852042),5,2024-12-18T14:30:38.000,Tenderloin,-122.412723,2024-12-06T12:17:47.000,37.7852042
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.4661345 37.7695812),7,2024-12-18T14:30:38.000,Golden Gate Park,-122.4661345,2024-12-06T12:17:47.000,37.7695812
Venom: Let There Be Carnage,2021,Montgomery and Green,,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,CA,San Francisco,POINT (-122.4036859 37.7972387),3,2024-12-18T14:30:38.000,Chinatown,-122.4036859,2024-12-06T12:17:47.000,37.7972387
Terminator - Genisys,2015,California at Larkin,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4190547 37.790802),3,2024-12-18T14:30:38.000,Nob Hill,-122.4190547,2024-12-06T12:17:47.000,37.790802
"Smile Again, Jenny Lee",2015,411 Shrader St.,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.452453 37.7708245),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.452453,2024-12-06T12:17:47.000,37.7708245
Sweet November,2001,Citicorp Center (1 Sansome Street at Sutter),,Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,CA,San Francisco,POINT (-122.4011537 37.7904462),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4011537,2024-12-06T12:17:47.000,37.7904462
Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,CA,San Francisco,POINT (-122.4037515 37.7924396),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4037515,2024-12-06T12:17:47.000,37.7924396
Chance Season 2,2017,Coit Tower,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4058222 37.8023949),3,2024-12-18T14:30:38.000,North Beach,-122.4058222,2024-12-06T12:17:47.000,37.8023949
Looking Season 2 ep 206,2015,770 Haight Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.43489 37.771831),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.43489,2024-12-06T12:17:47.000,37.771831
Joy Luck Club,1993,901 Union Street,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,CA,San Francisco,POINT (-122.4143844 37.7996653),3,2024-12-18T14:30:38.000,Russian Hill,-122.4143844,2024-12-06T12:17:47.000,37.7996653
Jade,1995,Fior d' Italia (601 Union Street at Stockton),,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,CA,San Francisco,POINT (-122.4093401 37.8002488),3,2024-12-18T14:30:38.000,North Beach,-122.4093401,2024-12-06T12:17:47.000,37.8002488
A Taiwanese Tale of Two Cities,2018,Pier 5,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.3960343 37.7980698),,2024-12-18T14:30:38.000,,-122.3960343,2024-12-06T12:17:47.000,37.7980698
Nine Months,1995,Pierce Street between Pacific & Green Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,CA,San Francisco,POINT (-122.4465763 37.7935663),2,2024-12-18T14:30:38.000,Presidio,-122.4465763,2024-12-06T12:17:47.000,37.7935663
The Presidio,1988,900 Block of Grant Avenue (Chinatown),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.406324 37.795353),3,2024-12-18T14:30:38.000,Chinatown,-122.406324,2024-12-06T12:17:47.000,37.795353
A Taiwanese Tale of Two Cities,2018,San Francisco City Hall,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Chance - Season 1 Pilot,2016,"Ellis Food Center, 398 Ellis",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4126834 37.7849979),5,2024-12-18T14:30:38.000,Tenderloin,-122.4126834,2024-12-06T12:17:47.000,37.7849979
Chan is Missing,1982,Golden Dragon Restaurant (816 Washington Street at Grant),,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,CA,San Francisco,POINT (-122.406882 37.795288),3,2024-12-18T14:30:38.000,Chinatown,-122.406882,2024-12-06T12:17:47.000,37.795288
Sonic the Hedgehog,2020,Pine btwn Sansome and Front,,"Paramount Overseas Productions, Inc.",Paramount Pictures,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz,CA,San Francisco,POINT (-122.40086 37.79202),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.40086,2024-12-06T12:17:47.000,37.79202
A Taiwanese Tale of Two Cities,2018,Palace of Fine Arts (3301 Lyon Street),,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4491285 37.8026694),2,2024-12-18T14:30:38.000,Marina,-122.4491285,2024-12-06T12:17:47.000,37.8026694
Blue Jasmine,2013,Marina Green,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.439016 37.8066961),2,2024-12-18T14:30:38.000,Marina,-122.439016,2024-12-06T12:17:47.000,37.8066961
"Smile Again, Jenny Lee",2015,Greenwich St at Battery St,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4020222 37.8032531),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4020222,2024-12-06T12:17:47.000,37.8032531
Chance Season 2,2017,Market St at Embarcadero,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4212203 37.7735081),6,2024-12-18T14:30:38.000,Mission,-122.4212203,2024-12-06T12:17:47.000,37.7735081
Godzilla,2014,Pine St. & Davis St,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.3974427 37.7925691),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3974427,2024-12-06T12:17:47.000,37.7925691
Godzilla,2014,Broadway & Sansome,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.4022487 37.7984316),3,2024-12-18T14:30:38.000,North Beach,-122.4022487,2024-12-06T12:17:47.000,37.7984316
Basic Instinct,1992,Tosca Café (242 Columbus Avenue),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,CA,San Francisco,POINT (-122.406019 37.7975646),3,2024-12-18T14:30:38.000,North Beach,-122.406019,2024-12-06T12:17:47.000,37.7975646
Basic Instinct,1992,Kearney Street (Telegraph Hill),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,CA,San Francisco,POINT (-122.40544 37.7975692),3,2024-12-18T14:30:38.000,North Beach,-122.40544,2024-12-06T12:17:47.000,37.7975692
Tales of the City,2019,Market and Noe St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4331382 37.7643185),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4331382,2024-12-06T12:17:47.000,37.7643185
Alcatraz,2012,Filbert St. from Jones to Mason,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,CA,San Francisco,POINT (-122.4117504 37.8009455),3,2024-12-18T14:30:38.000,Chinatown,-122.4117504,2024-12-06T12:17:47.000,37.8009455
Panther,1995,,,Gramercy Pictures,PolyGram Video,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Ant-Man and the Wasp,2018,Missouri St at 18th St,"VFX Plate Shots, chase scene","PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,CA,San Francisco,POINT (-122.3965516 37.7625922),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3965516,2024-12-06T12:17:47.000,37.7625922
Milk,2008,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
Red Widow,2013,Geary & 20th Ave,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,CA,San Francisco,POINT (-122.4794088 37.7804328),1,2024-12-18T14:30:38.000,Outer Richmond,-122.4794088,2024-12-06T12:17:47.000,37.7804328
Always Be My Maybe,2019,Fairmont Hotel - Penthouse Suite,Keanu Reeves' penthouse suite scenes were filmed at San Francisco's Fairmont Hotel.,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4104443 37.7923897),3,2024-12-18T14:30:38.000,Nob Hill,-122.4104443,2024-12-06T12:17:47.000,37.7923897
Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,CA,San Francisco,POINT (-122.4087206 37.7877854),3,2024-12-18T14:30:38.000,Tenderloin,-122.4087206,2024-12-06T12:17:47.000,37.7877854
Venom,2018,Geary St at Leavenworth St,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.4148268 37.7865283),3,2024-12-18T14:30:38.000,Tenderloin,-122.4148268,2024-12-06T12:17:47.000,37.7865283
Quitters,2015,Clement St. from 5th and 7th Ave.,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Blue Jasmine,2013,Ocean Beach at Lincoln,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.510734 37.7593921),4,2024-12-18T14:30:38.000,Sunset/Parkside,-122.510734,2024-12-06T12:17:47.000,37.7593921
My Big Fat Chinese Christmas,2022,Pier 7 San Francisco,,Hongbao Productions,Hallmark Channel,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere,CA,San Francisco,POINT (-122.3956409 37.7993521),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3956409,2024-12-06T12:17:47.000,37.7993521
The Last Thing He Told Me,2023,"Ferry Building, San Francisco",,20th Television,Apple TV+,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer, Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler,CA,San Francisco,POINT (-122.3936136 37.7954425),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3936136,2024-12-06T12:17:47.000,37.7954425
Vertigo,1958,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2024-12-18T14:30:38.000,Nob Hill,-122.4100923,2024-12-06T12:17:47.000,37.7923883
Bicentennial Man,1999,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,CA,San Francisco,POINT (-122.3699786 37.825284),6,2024-12-18T14:30:38.000,Treasure Island,-122.3699786,2024-12-06T12:17:47.000,37.825284
The Right Stuff,1983,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
The Bachelor,1999,Nina M. Designs (52 2nd Street at Jessie),,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,CA,San Francisco,POINT (-122.4007055 37.788543),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4007055,2024-12-06T12:17:47.000,37.788543
Chance- Season 1 ep106,2016,2 Rowland,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4044379 37.7977448),3,2024-12-18T14:30:38.000,North Beach,-122.4044379,2024-12-06T12:17:47.000,37.7977448
Maxie,1985,"Asian Art Museum (200 Larkin Street, Civic Center)",The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,Elsboy Entertainment,Orion Pictures Corporation,Paul Aaron,Patricia Resnick,Glenn Close,Mandy Patinkin,Ruth Gordon,CA,San Francisco,POINT (-122.4161985 37.7801637),5,2024-12-18T14:30:38.000,Tenderloin,-122.4161985,2024-12-06T12:17:47.000,37.7801637
Etruscan Smile,2017,"Benu Restaurant, 22 Hawthorne Street",,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.3992069 37.7854381),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3992069,2024-12-06T12:17:47.000,37.7854381
My Big Fat Chinese Christmas,2022,Mason Street between California and Pine,,Hongbao Productions,Hallmark Channel,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere,CA,San Francisco,POINT (-122.4093066 37.7860399),5,2024-12-18T14:30:38.000,Tenderloin,-122.4093066,2024-12-06T12:17:47.000,37.7860399
Chance Season 2,2017,Waller St between Masonic and Del Mar St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4455786 37.7673285),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.4455786,2024-12-06T12:17:47.000,37.7673285
"Murder in the First, Season 1",2014,Dolores Park,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4266135 37.7608223),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4266135,2024-12-06T12:17:47.000,37.7608223
